datetime,room,occupied,hour,weekday,is_weekend,occupied_previous,occupied_1hr_ago,occupied_yesterday,occupied_last_week
2026-05-24 12:00:00,1416,0,12,6,1,0.0,0.0,0.0,0.0
2026-05-24 12:15:00,1416,0,12,6,1,0.0,0.0,0.0,0.0
2026-05-24 12:30:00,1416,0,12,6,1,0.0,0.0,0.0,0.0
2026-05-24 12:45:00,1416,0,12,6,1,0.0,0.0,0.0,0.0
2026-05-24 13:00:00,1416,0,13,6,1,0.0,0.0,0.0,0.0
2026-05-24 13:15:00,1416,0,13,6,1,0.0,0.0,0.0,0.0
2026-05-24 13:30:00,1416,0,13,6,1,0.0,0.0,0.0,0.0
2026-05-24 13:45:00,1416,0,13,6,1,0.0,0.0,0.0,0.0
2026-05-24 14:00:00,1416,0,14,6,1,0.0,0.0,0.0,0.0
2026-05-24 14:15:00,1416,0,14,6,1,0.0,0.0,0.0,0.0
2026-05-24 14:30:00,1416,0,14,6,1,0.0,0.0,0.0,0.0
2026-05-24 14:45:00,1416,0,14,6,1,0.0,0.0,0.0,0.0
2026-05-24 15:00:00,1416,0,15,6,1,0.0,0.0,0.0,0.0
2026-05-24 15:15:00,1416,0,15,6,1,0.0,0.0,0.0,0.0
2026-05-24 15:30:00,1416,0,15,6,1,0.0,0.0,0.0,0.0
2026-05-24 15:45:00,1416,0,15,6,1,0.0,0.0,0.0,0.0
2026-05-24 16:00:00,1416,0,16,6,1,0.0,0.0,0.0,0.0
2026-05-24 16:15:00,1416,0,16,6,1,0.0,0.0,0.0,0.0
2026-05-24 16:30:00,1416,0,16,6,1,0.0,0.0,0.0,0.0
2026-05-24 16:45:00,1416,0,16,6,1,0.0,0.0,0.0,0.0
2026-05-24 17:00:00,1416,0,17,6,1,0.0,0.0,0.0,0.0
2026-05-24 17:15:00,1416,0,17,6,1,0.0,0.0,0.0,0.0
2026-05-24 17:30:00,1416,0,17,6,1,0.0,0.0,0.0,0.0
2026-05-24 17:45:00,1416,0,17,6,1,0.0,0.0,0.0,0.0
2026-05-24 18:00:00,1416,0,18,6,1,0.0,0.0,0.0,0.0
2026-05-24 18:15:00,1416,0,18,6,1,0.0,0.0,0.0,0.0
2026-05-24 18:30:00,1416,0,18,6,1,0.0,0.0,0.0,0.0
2026-05-24 18:45:00,1416,0,18,6,1,0.0,0.0,0.0,0.0
2026-05-24 19:00:00,1416,0,19,6,1,0.0,0.0,0.0,0.0
2026-05-24 19:15:00,1416,0,19,6,1,0.0,0.0,0.0,0.0
2026-05-24 19:30:00,1416,0,19,6,1,0.0,0.0,0.0,0.0
2026-05-24 19:45:00,1416,0,19,6,1,0.0,0.0,0.0,0.0
2026-05-24 20:00:00,1416,0,20,6,1,0.0,0.0,0.0,0.0
2026-05-24 20:15:00,1416,0,20,6,1,0.0,0.0,0.0,0.0
2026-05-24 20:30:00,1416,0,20,6,1,0.0,0.0,0.0,0.0
2026-05-24 20:45:00,1416,0,20,6,1,0.0,0.0,0.0,0.0
2026-05-24 21:00:00,1416,0,21,6,1,0.0,0.0,0.0,0.0
2026-05-24 21:15:00,1416,0,21,6,1,0.0,0.0,0.0,0.0
2026-05-24 21:30:00,1416,0,21,6,1,0.0,0.0,0.0,0.0
2026-05-24 21:45:00,1416,0,21,6,1,0.0,0.0,0.0,0.0
2026-05-24 22:00:00,1416,0,22,6,1,0.0,0.0,0.0,0.0
2026-05-24 22:15:00,1416,0,22,6,1,0.0,0.0,0.0,0.0
2026-05-24 22:30:00,1416,0,22,6,1,0.0,0.0,0.0,0.0
2026-05-24 22:45:00,1416,0,22,6,1,0.0,0.0,0.0,0.0
2026-05-24 23:00:00,1416,0,23,6,1,0.0,0.0,0.0,0.0
2026-05-25 07:00:00,1416,0,7,0,0,,,0.0,0.0
2026-05-25 07:15:00,1416,0,7,0,0,0.0,,0.0,0.0
2026-05-25 07:30:00,1416,0,7,0,0,0.0,,0.0,0.0
2026-05-25 07:45:00,1416,0,7,0,0,0.0,,0.0,0.0
2026-05-25 08:00:00,1416,0,8,0,0,0.0,0.0,0.0,0.0
2026-05-25 08:15:00,1416,0,8,0,0,0.0,0.0,0.0,0.0
2026-05-25 08:30:00,1416,0,8,0,0,0.0,0.0,0.0,0.0
2026-05-25 08:45:00,1416,0,8,0,0,0.0,0.0,0.0,0.0
2026-05-25 09:00:00,1416,0,9,0,0,0.0,0.0,0.0,0.0
2026-05-25 09:15:00,1416,0,9,0,0,0.0,0.0,0.0,0.0
2026-05-25 09:30:00,1416,0,9,0,0,0.0,0.0,0.0,0.0
2026-05-25 09:45:00,1416,0,9,0,0,0.0,0.0,0.0,0.0
2026-05-25 10:00:00,1416,0,10,0,0,0.0,0.0,0.0,0.0
2026-05-25 10:15:00,1416,0,10,0,0,0.0,0.0,0.0,0.0
